	FPP	POS	Dictionary Entry
198	agellulus	noun	agellulus, agellvli, m
199	agellus	noun	agellus, agelli, m
200	agema	noun	agema, n indecl.
201	Agenor	noun	Agenor, agenoris, m
202	ager	noun	ager, agri, m
203	agger	noun	agger, aggeris, m
204	aggestus	noun	aggestus, adgestus, m
205	aggressio	noun	aggressio, f indecl.
206	agilitas	noun	agilitas, agilitatis, f
207	agitatio	noun	agitatio, f indecl.
208	agitator	noun	agitator, m indecl.
209	agmen	noun	agmen, agminis, n
210	agna	noun	agna, agnae, f
211	Agnalia	noun	Agnalia, n indecl.
212	agnatio	noun	agnatio, agnationis, f
213	agnina	noun	agnina, f indecl.
214	agnitio	noun	agnitio, agnitionis, f
215	agnus	noun	agnus, agni, m
216	agonium	noun	agonium, n indecl.
217	agrarii	noun	agrarii, m indecl.
218	agricola	noun	agricola, agricolae, m
219	agricultio	noun	agricultio, f indecl.
220	agripeta	noun	agripeta, m indecl.
221	Aius	noun	Aius, ain, m
222	ala	noun	ala, alae, f
223	alacritas	noun	alacritas, alacritatis, f
224	alapa	noun	alapa, alapae, f
225	Albula	noun	Albula, albulae, f
226	album	noun	album, albi, n
227	alces	noun	alces, alcis, f
228	Alcides	noun	Alcides, alcidae, m
229	Alcinous	noun	Alcinous, alcinoi, m
230	alea	noun	alea, aleae, f
231	aleator	noun	aleator, aleatoris, m
232	Alecto	noun	Alecto, alectus, f
233	aleo	noun	aleo, m indecl.
234	alga	noun	alga, algae, f
235	algor	noun	algor, algoris, m
236	alienatio	noun	alienatio, alienationis, f
237	alienigena	noun	alienigena, alienigenae, m
238	alienum	noun	alienum, alieni, n
239	alienum	noun	alienum, alieni, n
240	alimentum	noun	alimentum, alimenti, n
241	alimonium	noun	alimonium, n indecl.
242	aliptes	noun	aliptes, aliptae, m
243	allium	noun	allium, alii, n
244	alnus	noun	alnus, alni, f
245	aloe	noun	aloe, aloes, f
246	alpha	noun	alpha, n indecl.
247	altercatio	noun	altercatio, f indecl.
248	altitudo	noun	altitudo, altitudinis, f
249	altor	noun	altor, altoris, m
250	altrix	noun	altrix, altricis, f
251	altum	noun	altum, alti, n
252	altum	noun	altum, alti, n
253	alumna	noun	alumna, alumnae, f
254	alveolus	noun	alveolus, m indecl.
255	alveus	noun	alveus, aluei, m
256	alvus	noun	alvus, alui, m
257	amandatio	noun	amandatio, f indecl.
258	amandus	noun	amandus, amandi, m
259	amaracus	noun	amaracus, amaraci, m
260	amarantus	noun	amarantus, m indecl.
261	amarities	noun	amarities, f indecl.
262	amaror	noun	amaror, m indecl.
263	amata	noun	amata, amatae, f
264	amator	noun	amator, amatoris, m
265	Amazon	noun	Amazon, amazonis, f
266	Amazonis	noun	Amazonis, f indecl.
267	ambactus	noun	ambactus, m indecl.
268	ambiguitas	noun	ambiguitas, f indecl.
269	ambitio	noun	ambitio, ambitionis, f
270	ambitus	noun	ambitus, ambitus, m
271	Ambracia	noun	Ambracia, ambraciae, f
272	ambrosia	noun	ambrosia, ambrosiae, f
273	ambubaia	noun	ambubaia, f indecl.
274	ambulatio	noun	ambulatio, ambulationis, f
275	ambulatiuncula	noun	ambulatiuncula, f indecl.
276	amellus	noun	amellus, amelli, m
277	amentia	noun	amentia, amentiae, f
278	amentum	noun	amentum, amenti, n
279	ames	noun	ames, m indecl.
280	amica	noun	amica, amicae, f
281	amicitia	noun	amicitia, amicitiae, f
282	amictus	noun	amictus, amictus, m
283	amicula	noun	amicula, amiculae, f
284	amiculum	noun	amiculum, amiculi, n
285	amiculus	noun	amiculus, amiculi, m
286	amicus	noun	amicus, amici, m
287	amissio	noun	amissio, f indecl.
288	amissus	noun	amissus, amissus, m
289	amita	noun	amita, amitae, f
290	amnicola	noun	amnicola, amnicolaeque, m
291	amniculus	noun	amniculus, m indecl.
292	amnis	noun	amnis, amnis, m
293	amoenitas	noun	amoenitas, f indecl.
294	amomum	noun	amomum, amomi, n
295	amor	noun	amor, amoris, m
296	amotio	noun	amotio, f indecl.
297	amphibolia	noun	amphibolia, f indecl.
298	Amphictyones	noun	Amphictyones, m indecl.
299	Amphion	noun	Amphion, amphionis, m
300	amphitheatrum	noun	amphitheatrum, amphitheatri, n
301	amphora	noun	amphora, amphorae, f
302	Amphrysus	noun	Amphrysus, amphrysi, m
303	amplexus	noun	amplexus, amplexus, m
304	amplificatio	noun	amplificatio, amplificationis, f
305	amplificator	noun	amplificator, m indecl.
306	amplitudo	noun	amplitudo, amplitudinis, f
307	Ampsanctus	noun	Ampsanctus, m indecl.
308	ampulla	noun	ampulla, ampullae, f
309	amputatio	noun	amputatio, f indecl.
310	amurca	noun	amurca, amurcae, f
311	Amyclae	noun	Amyclae, f indecl.
312	amygdalum	noun	amygdalum, amygdali, n
313	amystis	noun	amystis, amystis, f
314	anagnostes	noun	anagnostes, anagnostae, m
315	analeptris	noun	analeptris, f indecl.
316	anaticula	noun	anaticula, f indecl.
317	anatocismus	noun	anatocismus, m indecl.
318	anceps	noun	anceps, ancipitis, n
319	Anchises	noun	Anchises, anchisi, m
320	Anchisiades	noun	Anchisiades, m indecl.
321	ancile	noun	ancile, n indecl.
322	ancilla	noun	ancilla, ancillae, f
323	ancillula	noun	ancillula, ancillulae, f
324	ancora	noun	ancora, ancorae, f
325	ancorale	noun	ancorale, ancoralis, n
326	andabata	noun	andabata, m indecl.
327	androgynus	noun	androgynus, m indecl.
328	anellus	noun	anellus, anelli, m
329	anethum	noun	anethum, anethi, n
330	angor	noun	angor, angoris, m
331	anguiculus	noun	anguiculus, m indecl.
332	anguigena	noun	anguigena, anguigenae, m
333	anguilla	noun	anguilla, anguillae, f
334	angulus	noun	angulus, anguli, m
335	angustia	noun	angustia, angustiae, f
336	angustum	noun	angustum, angusti, n
337	anhelitus	noun	anhelitus, anhelitus, m
338	anicula	noun	anicula, aniculae, f
339	anilitas	noun	anilitas, f indecl.
340	anima	noun	anima, animae, f
341	animadversio	noun	animadversio, animadversionis, f
342	animadversor	noun	animadversor, m indecl.
343	animal	noun	animal, animalis, n
344	animatio	noun	animatio, f indecl.
345	animula	noun	animula, animulae, f
346	animus	noun	animus, animi, m
347	Anio	noun	Anio, anienis, m
348	annona	noun	annona, annonae, f
349	annus	noun	annus, anni, m
350	ansa	noun	ansa, ansae, f
351	anser	noun	anser, anseris, m
352	antecessio	noun	antecessio, f indecl.
353	antepilanus	noun	antepilanus, antepilani, m
354	antes	noun	antes, m indecl.
355	antesignanus	noun	antesignanus, antesignani, m
356	anthias	noun	anthias, anthiae, m
357	anticipatio	noun	anticipatio, f indecl.
358	antidotum	noun	antidotum, antidoti, f
359	antiquaria	noun	antiquaria, f indecl.
360	antiquitas	noun	antiquitas, antiquitatis, f
361	antistes	noun	antistes, antistitis, m
362	Antoniaster	noun	Antoniaster, m indecl.
363	antrum	noun	antrum, antri, n
364	anulus	noun	anulus, anuli, m
365	anus	noun	anus, ani, m
366	anus	noun	anus, ani, m
367	anxietas	noun	anxietas, anxietatis, f
368	anxitudo	noun	anxitudo, f indecl.
369	apeliotes	noun	apeliotes, apeliotae, m
370	aper	noun	aper, apri, m
371	apex	noun	apex, apicis, m
372	aphractus	noun	aphractus, f indecl.
373	apis	noun	apis, apin, f
374	apium	noun	apium, api, n
375	aplustre	noun	aplustre, aplustris, n
376	apocleti	noun	apocleti, m indecl.
377	apodyterium	noun	apodyterium, apodyteri, n
378	Apollo	noun	Apollo, apollinis, m
379	apologus	noun	apologus, apologi, m
380	apoproegmenon	noun	apoproegmenon, n indecl.
381	apotheca	noun	apotheca, apothecae, f
382	apparatus	noun	apparatus, apparatus, m
383	apparitio	noun	apparitio, f indecl.
384	appellatio	noun	appellatio, appellationis, f
385	appellator	noun	appellator, m indecl.
386	appendicula	noun	appendicula, f indecl.
387	appendix	noun	appendix, m indecl.
388	appetentia	noun	appetentia, appetentiae, f
389	appetitio	noun	appetitio, f indecl.
390	appetitus	noun	appetitus, adpetitus, m
391	applicatio	noun	applicatio, applicationis, f
392	approbatio	noun	approbatio, approbationis, f
393	approbator	noun	approbator, m indecl.
394	appropinquatio	noun	appropinquatio, f indecl.
395	appulsus	noun	appulsus, adpulsus, m
396	apricatio	noun	apricatio, f indecl.
397	aqua	noun	aqua, aquae, f
398	aquator	noun	aquator, m indecl.
399	aquila	noun	aquila, aquilae, f
400	aquilo	noun	aquilo, aquilonis, m
401	Aquinas	noun	Aquinas, m indecl.
402	aquula	noun	aquula, f indecl.
403	ara	noun	ara, arae, f
404	Arabs	noun	Arabs, arabis, m
405	aranea	noun	aranea, araneae, f
406	araneola	noun	araneola, araneolae, f
407	araneum	noun	araneum, aranei, n
408	araneus	noun	araneus, aranei, m
409	aratio	noun	aratio, arationis, f
410	arator	noun	arator, aratoris, m
411	aratrum	noun	aratrum, aratri, n
412	arbiter	noun	arbiter, arbitri, m
413	arbitra	noun	arbitra, arbitrae, f
414	arbitratus	noun	arbitratus, arbitratus, m
415	arbitrium	noun	arbitrium, arbitri, n
416	arbor	noun	arbor, arboris, m
417	arbustum	noun	arbustum, arbusti, n
418	arbutum	noun	arbutum, arbuti, n
419	arbutus	noun	arbutus, arbuti, f
420	arca	noun	arca, arcae, f
421	Arcas	noun	Arcas, arcadis, m
422	arcessitus	noun	arcessitus, arcessitus, m
423	archimagirus	noun	archimagirus, m indecl.
424	archipirata	noun	archipirata, m indecl.
425	architectura	noun	architectura, architecturae, f
426	architectus	noun	architectus, architecti, m
427	Arctophylax	noun	Arctophylax, m indecl.
428	Arctos	noun	Arctos, arcti, f
429	arcturus	noun	arcturus, arcturi, m
430	arcula	noun	arcula, arculae, f
431	arcus	noun	arcus, arcus, m
432	ardea	noun	ardea, ardeae, f
433	ardelio	noun	ardelio, m indecl.
434	ardor	noun	ardor, ardoris, m
435	arduum	noun	arduum, ardui, n
436	area	noun	area, areae, f
437	Areopagus	noun	Areopagus, areopagi, m
438	aretalogus	noun	aretalogus, aretalogi, m
439	argentum	noun	argentum, argenti, n
440	argestes	noun	argestes, m indecl.
441	Argi	noun	Argi, m indecl.
442	argilla	noun	argilla, argillae, f
443	argitis	noun	argitis, f indecl.
444	argumentatio	noun	argumentatio, argumentationis, f
445	argumentum	noun	argumentum, argumenti, n
446	argutatio	noun	argutatio, f indecl.
447	argutiae	noun	argutiae, f indecl.
448	aries	noun	aries, arietis, f
449	arista	noun	arista, aristae, f
450	arithmetica	noun	arithmetica, n indecl.
451	arma	noun	arma, n indecl.
452	armamaxa	noun	armamaxa, f indecl.
453	armamenta	noun	armamenta, n indecl.
454	armamentarium	noun	armamentarium, n indecl.
455	armarium	noun	armarium, armari, n
456	armatura	noun	armatura, armaturae, f
457	armatus	noun	armatus, armati, m
458	armatus	noun	armatus, armati, m
459	armentum	noun	armentum, armenti, n
460	armilla	noun	armilla, armillae, f
461	Armilustrum	noun	Armilustrum, n indecl.
462	Armoricae	noun	Armoricae, f indecl.
463	armus	noun	armus, armi, m
464	ars	noun	ars, artis, f
465	arteria	noun	arteria, arteriae, n
466	articulus	noun	articulus, articuli, m
467	artifex	noun	artifex, artificis, m
468	artificium	noun	artificium, artifici, n
469	artolaganus	noun	artolaganus, artolagani, m
470	artopta	noun	artopta, artoptae, m
471	artus	noun	artus, artus, m
472	arula	noun	arula, arulae, f
473	arvina	noun	arvina, f indecl.
474	arvum	noun	arvum, arui, n
475	arx	noun	arx, arcis, f
476	ascensio	noun	ascensio, ascensionis, f
477	ascensus	noun	ascensus, ascensus, m
478	ascia	noun	ascia, f indecl.
479	ascriptio	noun	ascriptio, f indecl.
480	ascriptor	noun	ascriptor, m indecl.
481	asella	noun	asella, f indecl.
482	asellus	noun	asellus, aselli, m
483	asilus	noun	asilus, m indecl.
484	asinus	noun	asinus, asini, m
485	asotus	noun	asotus, asoti, m
486	asparagus	noun	asparagus, asparagi, m
487	aspectus	noun	aspectus, aspectus, m
488	aspergo	noun	aspergo, asperginis, f
489	asperitas	noun	asperitas, asperitatis, f
490	aspernatio	noun	aspernatio, f indecl.
491	aspersio	noun	aspersio, aspersionis, f
492	aspiratio	noun	aspiratio, f indecl.
493	aspis	noun	aspis, aspis, f
494	asportatio	noun	asportatio, f indecl.
495	assa	noun	assa, n indecl.
496	assa	noun	assa, n indecl.
497	asser	noun	asser, m indecl.
498	astipulator	noun	astipulator, m indecl.
499	astrologia	noun	astrologia, astrologiae, f
500	astrologus	noun	astrologus, astrologi, m
501	astrum	noun	astrum, astri, n
502	astutia	noun	astutia, astutiae, f
503	asylum	noun	asylum, asyli, n
504	Atabulus	noun	Atabulus, m indecl.
505	atavus	noun	atavus, atavi, m
506	Athenae	noun	Athenae, f indecl.
507	athleta	noun	athleta, athletae, m
508	atramentum	noun	atramentum, atramenti, n
509	Atrides	noun	Atrides, atridae, m
510	atriensis	noun	atriensis, atriensis, m
511	atriolum	noun	atriolum, atrioli, n
512	atrium	noun	atrium, atri, n
513	atrocitas	noun	atrocitas, atrocitatis, f
514	attactus	noun	attactus, attactus, m
515	attegia	noun	attegia, attegiae, f
516	attentio	noun	attentio, f indecl.
517	attenuatio	noun	attenuatio, f indecl.
518	attice	noun	attice, atticae, f
519	attrectatus	noun	attrectatus, attrectatus, m
520	attributio	noun	attributio, f indecl.
521	attributum	noun	attributum, attributi, n
522	auctio	noun	auctio, auctionis, f
523	auctor	noun	auctor, auctoris, m
524	auctoramentum	noun	auctoramentum, auctoramenti, n
525	auctoritas	noun	auctoritas, auctoritatis, f
526	auctus	noun	auctus, auctus, m
527	aucupium	noun	aucupium, aucupi, n
528	audacia	noun	audacia, audaciae, f
529	audentia	noun	audentia, audentiae, f
530	audientia	noun	audientia, audientiae, f
531	auditio	noun	auditio, auditionis, f
532	auditor	noun	auditor, auditoris, m
533	auditorium	noun	auditorium, auditori, n
534	auditus	noun	auditus, auditus, m
535	augur	noun	augur, auguris, m
536	auguratus	noun	auguratus, auguratus, m
537	auguratus	noun	auguratus, auguratus, m
538	augurium	noun	augurium, auguri, n
539	aula	noun	aula, aulae, f
540	aulaeum	noun	aulaeum, aulaei, n
541	auloedus	noun	auloedus, m indecl.
542	aura	noun	aura, aurae, f
543	auraria	noun	auraria, f indecl.
544	auricula	noun	auricula, auriculae, f
545	auriga	noun	auriga, aurigae, f
546	aurigena	noun	aurigena, m indecl.
547	auritulus	noun	auritulus, m indecl.
548	aurora	noun	aurora, aurorae, f
549	aurum	noun	aurum, ori, n
550	auscultator	noun	auscultator, m indecl.
551	auspex	noun	auspex, auspicis, m
552	auspicium	noun	auspicium, auspici, n
553	auster	noun	auster, austri, m
554	ausum	noun	ausum, ausi, n
555	authepsa	noun	authepsa, f indecl.
556	auxiliator	noun	auxiliator, m indecl.
557	auxilium	noun	auxilium, auxili, n
558	avaritia	noun	avaritia, auaritiae, f
559	avena	noun	avena, avenae, f
560	aversor	noun	aversor, m indecl.
561	aviarium	noun	aviarium, aviarii, n
562	aviditas	noun	aviditas, aviditatis, f
