	FPP	POS	Dictionary Entry
230	aedilicius	noun	aedilicius, aedilicii, m
231	aedilis	noun	aedilis, aedilis, m
232	aedilitas	noun	aedilitas, aedilitatis, f
233	aedis	noun	aedis, NULL, n
234	aeditimus	noun	aeditimus, NULL, m
235	aedituus	noun	aedituus, aeditui, m
236	aegis	noun	aegis, aegidis, f
237	aegrimonia	noun	aegrimonia, aegrimoniae, f
238	aegritudo	noun	aegritudo, aegritudinis, f
239	aegrotatio	noun	aegrotatio, NULL, f
240	Aegyptius	noun	Aegyptius, aegypti, m
241	aelinos	noun	aelinos, NULL, m
242	aemulatio	noun	aemulatio, aemulationis, f
243	aemulator	noun	aemulator, NULL, m
244	aemulatus	noun	aemulatus, aemulatus, m
245	aenigma	noun	aenigma, NULL, n
246	aenus	noun	aenus, aeni, f
247	aequabilitas	noun	aequabilitas, aequabilitatis, f
248	aequalitas	noun	aequalitas, aequalitatis, f
249	aequanimitas	noun	aequanimitas, aequanimitatis, f
250	aequatio	noun	aequatio, NULL, f
251	aequilibritas	noun	aequilibritas, NULL, f
252	aequinoctium	noun	aequinoctium, aequinoctii, n
253	aequitas	noun	aequitas, aequitatis, f
254	aequo	noun	aequo, NULL, n
255	aequor	noun	aequor, aequoris, n
256	aequum	noun	aequum, aequi, n
257	aequus	noun	aequus, aequi, m
258	aer	noun	aer, aeris, m
259	aeraria	noun	aeraria, aerariae, f
260	aerarium	noun	aerarium, aerarii, n
261	aerarius	noun	aerarius, aerari, m
262	aerarius	noun	aerarius, aerari, m
263	aereus	noun	aereus, aerei, m
264	aerugo	noun	aerugo, aeruginis, f
265	aerumna	noun	aerumna, aerumnae, f
266	aesculetum	noun	aesculetum, NULL, n
267	aesculus	noun	aesculus, aesculi, f
268	aestas	noun	aestas, aestatis, f
269	aestimatio	noun	aestimatio, aestimationis, f
270	aestimator	noun	aestimator, NULL, m
271	aestimo	noun	aestimo, NULL, n
272	aestiva	noun	aestiva, NULL, n
273	aestuarium	noun	aestuarium, NULL, n
274	aestus	noun	aestus, aestus, m
275	aetas	noun	aetas, aetatis, f
276	aetatula	noun	aetatula, aetatulae, f
277	aeternitas	noun	aeternitas, aeternitatis, f
278	aether	noun	aether, aetheris, m
279	Aethiops	noun	Aethiops, aethiopis, m
280	aethra	noun	aethra, aethrae, f
281	aevitas	noun	aevitas, NULL, f
282	aevum	noun	aevum, aeui, n
283	Africa	noun	Africa, africae, f
284	Africus	noun	Africus, africi, m
285	agaso	noun	agaso, NULL, m
286	agellulus	noun	agellulus, agellvli, m
287	agellus	noun	agellus, agelli, m
288	agema	noun	agema, NULL, n
289	Agenor	noun	Agenor, agenoris, m
290	ager	noun	ager, agri, m
291	agger	noun	agger, aggeris, m
292	aggero	noun	aggero, NULL, n
293	aggestus	noun	aggestus, adgestus, m
294	aggredior	noun	aggredior, NULL, n
295	aggressio	noun	aggressio, NULL, f
296	agilitas	noun	agilitas, agilitatis, f
297	agitatio	noun	agitatio, NULL, f
298	agitator	noun	agitator, NULL, m
299	agito	noun	agito, NULL, n
300	agmen	noun	agmen, agminis, n
301	agna	noun	agna, agnae, f
302	Agnalia	noun	Agnalia, NULL, n
303	agnatio	noun	agnatio, agnationis, f
304	agnina	noun	agnina, NULL, f
305	agnitio	noun	agnitio, agnitionis, f
306	agnus	noun	agnus, agni, m
307	ago	noun	ago, NULL, n
308	agonium	noun	agonium, NULL, n
309	agrarii	noun	agrarii, NULL, m
310	agricola	noun	agricola, agricolae, m
311	agricultio	noun	agricultio, NULL, f
312	agripeta	noun	agripeta, NULL, m
313	Aius	noun	Aius, ain, m
314	ala	noun	ala, alae, f
315	alacritas	noun	alacritas, alacritatis, f
316	alapa	noun	alapa, alapae, f
317	Alauda	noun	Alauda, alaudae, f
318	Albula	noun	Albula, albulae, f
319	album	noun	album, albi, n
320	albus	noun	albus, albi, m
321	alces	noun	alces, alcis, f
322	Alcides	noun	Alcides, alcidae, m
323	Alcinous	noun	Alcinous, alcinoi, m
324	alea	noun	alea, aleae, f
325	aleator	noun	aleator, aleatoris, m
326	Alecto	noun	Alecto, alectus, f
327	aleo	noun	aleo, NULL, m
328	alga	noun	alga, algae, f
329	algor	noun	algor, algoris, m
330	alienatio	noun	alienatio, alienationis, f
331	alienigena	noun	alienigena, alienigenae, m
332	alieno	noun	alieno, NULL, n
333	alienum	noun	alienum, alieni, n
334	alienus	noun	alienus, alieni, m
335	alienus	noun	alienus, alieni, m
336	alienum	noun	alienum, alieni, n
337	alimentarius	noun	alimentarius, alimentarii, m
338	alimentum	noun	alimentum, alimenti, n
339	alimonium	noun	alimonium, NULL, n
340	aliptes	noun	aliptes, aliptae, m
341	allium	noun	allium, alii, n
342	alnus	noun	alnus, alni, f
343	alo	noun	alo, altioris, n
344	aloe	noun	aloe, aloes, f
345	alpha	noun	alpha, NULL, n
