language,source,lemma,atlas_id,url
grc,Atlas,δυσμήχανος,391514,https://atlas.perseus.tufts.edu/lemma/391514/
grc,Atlas,δυσοδμία,375684,https://atlas.perseus.tufts.edu/lemma/375684/
grc,Atlas,δυσόνειρος,371212,https://atlas.perseus.tufts.edu/lemma/371212/
grc,Atlas,δύσοργος,348653,https://atlas.perseus.tufts.edu/lemma/348653/
grc,Atlas,δυσπετής,347609,https://atlas.perseus.tufts.edu/lemma/347609/
grc,Atlas,δυσσεβημα,365821,https://atlas.perseus.tufts.edu/lemma/365821/
grc,Atlas,δυσσύμβολος,444040,https://atlas.perseus.tufts.edu/lemma/444040/
grc,Atlas,δυσσυνείδητος,345527,https://atlas.perseus.tufts.edu/lemma/345527/
grc,Atlas,δύστλητος,489776,https://atlas.perseus.tufts.edu/lemma/489776/
grc,Atlas,δύστρον,338928,https://atlas.perseus.tufts.edu/lemma/338928/
grc,Atlas,δυστυ,424658,https://atlas.perseus.tufts.edu/lemma/424658/
grc,Atlas,δυστυχέω,357905,https://atlas.perseus.tufts.edu/lemma/357905/
grc,Atlas,δυσώλεθρος,394803,https://atlas.perseus.tufts.edu/lemma/394803/
grc,Atlas,δω,384780,https://atlas.perseus.tufts.edu/lemma/384780/
grc,Atlas,δώδεκα,393679,https://atlas.perseus.tufts.edu/lemma/393679/
grc,Atlas,δωδεκαέτης,401080,https://atlas.perseus.tufts.edu/lemma/401080/
grc,Atlas,δωρεὰ,379039,https://atlas.perseus.tufts.edu/lemma/379039/
grc,Atlas,δωρέω,492616,https://atlas.perseus.tufts.edu/lemma/492616/
grc,Atlas,δῶρον,421023,https://atlas.perseus.tufts.edu/lemma/421023/
grc,Atlas,δωροξενία,359840,https://atlas.perseus.tufts.edu/lemma/359840/
grc,Atlas,εʼ,339181,https://atlas.perseus.tufts.edu/lemma/339181/
grc,Atlas,ἐάν,393047,https://atlas.perseus.tufts.edu/lemma/393047/
grc,Atlas,ἑβδο- μάδα,340004,https://atlas.perseus.tufts.edu/lemma/340004/
grc,Atlas,ἑβδομαῖος,385628,https://atlas.perseus.tufts.edu/lemma/385628/
grc,Atlas,εβερ,384443,https://atlas.perseus.tufts.edu/lemma/384443/
grc,Atlas,ἐβιωναῖος,362586,https://atlas.perseus.tufts.edu/lemma/362586/
grc,Atlas,εγ∠,341181,https://atlas.perseus.tufts.edu/lemma/341181/
grc,Atlas,ἐγγεγαμίζω,356540,https://atlas.perseus.tufts.edu/lemma/356540/
grc,Atlas,ἐγγεγυήκω,376715,https://atlas.perseus.tufts.edu/lemma/376715/
grc,Atlas,ἐγγίζω,343261,https://atlas.perseus.tufts.edu/lemma/343261/
grc,Atlas,ἐγγύα,356224,https://atlas.perseus.tufts.edu/lemma/356224/
grc,Atlas,ἐγκα,474894,https://atlas.perseus.tufts.edu/lemma/474894/
grc,Atlas,ἐγκαταγράφω,400183,https://atlas.perseus.tufts.edu/lemma/400183/
grc,Atlas,ἐγκαταδύομαι,394573,https://atlas.perseus.tufts.edu/lemma/394573/
grc,Atlas,ἐγκατάλαμβάνω,400754,https://atlas.perseus.tufts.edu/lemma/400754/
grc,Atlas,ἐγκατασπεῖρον,342528,https://atlas.perseus.tufts.edu/lemma/342528/
grc,Atlas,ἐγκεντρισμός,390927,https://atlas.perseus.tufts.edu/lemma/390927/
grc,Atlas,ἐγκηρίδες,350347,https://atlas.perseus.tufts.edu/lemma/350347/
grc,Atlas,ἐγκλείω,413433,https://atlas.perseus.tufts.edu/lemma/413433/
