,Workgroup,Work,Language,Words,URN,URL
501,Hippocrates,De visu,"grc,lat,fre",785,urn:cts:greekLit:tlg0627.tlg047.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0627.tlg047.1st1K-grc1:1-5/
502,Hippocrates,De natura ossium,"grc,lat,fre",3326,urn:cts:greekLit:tlg0627.tlg048.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0627.tlg048.1st1K-grc1:1-5/
503,Hippocrates,De medico,"grc,lat,fre",1515,urn:cts:greekLit:tlg0627.tlg049.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0627.tlg049.1st1K-grc1:1-5/
504,Hippocrates,De habitu decenti,"grc,lat,fre",1502,urn:cts:greekLit:tlg0627.tlg050.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0627.tlg050.1st1K-grc1:1-5/
505,Hippocrates,Praeceptiones,"grc,lat,fre",1345,urn:cts:greekLit:tlg0627.tlg051.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0627.tlg051.1st1K-grc1:1-5/
506,Hippocrates,De crisibus,"grc,lat,fre",1973,urn:cts:greekLit:tlg0627.tlg052.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0627.tlg052.1st1K-grc1:1-5/
507,Hippocrates,De diebus criticis,"grc,lat,fre",1286,urn:cts:greekLit:tlg0627.tlg053.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0627.tlg053.1st1K-grc1:1-5/
508,Hippocrates,"Epistulae, Decretum, Orationes","grc,lat,fre",11789,urn:cts:greekLit:tlg0627.tlg055.1st1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0627.tlg055.1st1K-grc1:1-5/
509,Alciphron,Epistulae,"grc,lat",39531,urn:cts:greekLit:tlg0640.tlg001.First1K-grc1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0640.tlg001.First1K-grc1:1.1-1.5/
510,Hermannus Diels,Preface to Anonymi Londinensis ex Aristotelis iatricis Menoniis et aliis medicis eclogae,lat,4512,urn:cts:greekLit:tlg0643.opp001.1st1K-lat1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0643.opp001.1st1K-lat1:1-5/
